run_id,run_name,method,sparsity_coeff,state,L0_layer_2,mse_layer_2,explained_var_layer_2,explained_var_ln_layer_2,L0_layer_4,mse_layer_4,explained_var_layer_4,explained_var_ln_layer_4,L0_layer_6,mse_layer_6,explained_var_layer_6,explained_var_ln_layer_6
y7bkj10q,hard_concrete_sparsity_coeff_50,HardConcrete,50.0,finished,0.0,0.0033969410602003335,-31569500700672.0,-20182550446080.0,0.0,0.0008071264484897256,-59607523262464.0,-35994736787456.0,0.0,0.00046236543217673896,-45665153449984.0,-25306373029888.0
tc4xw3ez,hard_concrete_sparsity_coeff_50,HardConcrete,50.0,finished,0.0,0.0033969410602003335,-31569500700672.0,-20182550446080.0,0.0,0.0008071264484897256,-59607523262464.0,-35994736787456.0,0.0,0.00046236543217673896,-45665153449984.0,-25306373029888.0
iwt3cflv,relu_sparsity_coeff_5e-03,ReLU,0.005,finished,101.56656196594238,1.824710323489853e-05,0.9926134943962096,0.993293523788452,107.4838182067871,1.14297267737129e-05,0.9824432134628296,0.9853799343109132,85.429228515625,9.479564787397977e-06,0.9732678532600404,0.97721928358078
2g57tib3,relu_sparsity_coeff_0.01,ReLU,0.01,finished,71.32406402587891,3.5353108287381474e-05,0.9845423698425292,0.986476182937622,80.18077308654784,2.9892624952481127e-05,0.9474131464958192,0.9589544534683228,59.22887550354004,2.370050004174118e-05,0.9220241904258728,0.9363989233970642
3j297i0n,relu_sparsity_coeff_0.05,ReLU,0.05,finished,20.89426795959473,0.0001363846950698644,0.9114314913749696,0.9331554174423218,15.090640840530396,0.0001422958675539121,0.4511483311653137,0.6978009343147278,9.705386924743651,0.00010509106970857828,0.0037617196794599295,0.4261610805988312
vqhuda6b,relu_sparsity_coeff_0.1,ReLU,0.1,finished,11.614615459442138,0.00026801438332768157,0.733689546585083,0.8266845941543579,5.282869262695312,0.00026619591662893074,-2.2298521995544434,-0.11328282952308656,3.259066460132599,0.0001954400130489375,-7.388503074645996,-2.471224784851074
ps8bipwt,relu_sparsity_coeff_0.5,ReLU,0.5,finished,1.118115257024765,0.0020431331486906856,-71.4254150390625,-41.996219635009766,0.00037695313134463506,0.0008068754308624193,-320503378083840.0,-143794146115584.0,6.640625069849193e-05,0.00046236014983151106,-822213238325248.0,-476363077189632.0
0113wjod,relu_sparsity_coeff_1,ReLU,1.0,finished,0.10428711093962192,0.003168657775968313,-1445.65087890625,-967.3278198242188,6.835937689174898e-05,0.0008071218454279006,-1684301489897472.0,-501836528222208.0,5.0781251193257045e-05,0.00046236017398769034,-965975457398784.0,-477355684397056.0
oxz0m45a,relu_sparsity_coeff_5,ReLU,5.0,finished,2.343750064028427e-05,0.003396942564286292,-252710456655872.0,-601266833063936.0,1.3671875349245964e-05,0.0008071219152770936,-841283161554944.0,-634826902208512.0,1.757812555297278e-05,0.0004623602208448574,-847322757988352.0,-394540393431040.0
im2rc1up,relu_sparsity_coeff_10,ReLU,10.0,finished,5.859375087311491e-06,0.003396942554973066,-255590869762048.0,-519868747087872.0,7.812500116415322e-06,0.0008071219309931621,-758728387198976.0,-470041153765376.0,9.765625291038303e-06,0.0004623602179344743,-455597212303360.0,-471335381762048.0
2e0rzh26,relu_sparsity_coeff_50,ReLU,50.0,finished,7.812500116415322e-06,0.003396942534018308,-381642304651264.0,-256314638860288.0,1.9531250291038306e-06,0.0008071219373960048,-1191404063686656.0,-407720339439616.0,3.906250058207661e-06,0.00046236022433731705,-799287306878976.0,-701848658903040.0
